Date,Open,High,Low,Close,Adj Close,Volume
2021-05-12,16515.88,16552.63,15165.27,15902.37,15902.37,13913300
2021-05-13,15668.33,16031.93,15368.54,15670.1,15670.1,10615100
2021-05-14,15819.24,16075.48,15702.1,15827.09,15827.09,9406800
2021-05-17,15554.99,15719.74,15159.86,15353.89,15353.89,9443500
2021-05-18,15564.96,16153.77,15564.96,16145.98,16145.98,7546900
2021-05-19,16112.21,16273.98,16009.76,16132.66,16132.66,8707800
2021-05-20,16122.52,16154.08,15943.45,16042.36,16042.36,8178100
2021-05-21,16136.86,16431.14,16136.86,16302.06,16302.06,7531400
2021-05-24,16246.52,16397.59,16136.97,16338.29,16338.29,7333500
2021-05-25,16444.75,16657.6,16444.75,16595.67,16595.67,9038500
2021-05-26,16645.17,16706.29,16523.23,16643.69,16643.69,6816100
2021-05-27,16591.7,16601.61,16419.42,16601.61,16601.61,8532000
2021-05-28,16690.04,16889.01,16690.04,16870.86,16870.86,8549300
2021-05-31,16948.47,17113.33,16939.91,17068.43,17068.43,9490500
2021-06-01,17098.49,17184.3,17060.45,17162.38,17162.38,7821200
2021-06-02,17192.91,17274.66,17056.42,17165.04,17165.04,9368700
2021-06-03,17201.3,17311.28,17198.89,17246.16,17246.16,8355400
2021-06-04,17225.06,17225.06,17084.49,17147.41,17147.41,8595000
2021-06-07,17176.09,17189.23,16775.85,17083.91,17083.91,8683700
2021-06-08,17094.34,17181.52,17056.53,17076.21,17076.21,5658700
2021-06-09,17082.52,17082.52,16907.43,16966.22,16966.22,6310000
2021-06-10,17024.54,17159.22,16978.01,17159.22,17159.22,6582700
2021-06-11,17200.45,17278.55,17193.61,17213.52,17213.52,6154800
2021-06-15,17279.7,17371.29,17279.7,17371.29,17371.29,6317500
2021-06-16,17357.37,17398.22,17275.02,17307.86,17307.86,7962000
2021-06-17,17254.84,17390.61,17150.52,17390.61,17390.61,6398800
2021-06-18,17384.74,17417.5,17318.54,17318.54,17318.54,7976600
2021-06-21,17305.49,17305.49,17023.31,17062.98,17062.98,7503200
2021-06-22,17162.71,17270.47,17075.55,17075.55,17075.55,8917000
2021-06-23,17127.59,17375.79,17127.59,17336.71,17336.71,8083500
2021-06-24,17358.57,17439.63,17319.89,17407.96,17407.96,6453900
2021-06-25,17471.07,17597.33,17471.07,17502.99,17502.99,6766700
2021-06-28,17531.82,17595.51,17481.23,17590.97,17590.97,7091900
2021-06-29,17621.15,17713.24,17541.14,17598.19,17598.19,8437900
2021-06-30,17648.25,17797.27,17648.25,17755.46,17755.46,7979400
2021-07-01,17801.19,17863.9,17644.36,17713.94,17713.94,9647200
2021-07-02,17745.69,17795.88,17676.98,17710.15,17710.15,8973200
2021-07-05,17783.8,17945.52,17783.8,17919.33,17919.33,7425200
2021-07-06,17929.22,18008.37,17895.78,17913.07,17913.07,6634400
